ticker,name,listed_date,sic_code,market_cap,weighted_shares
ACQR,Independence Holdings Corp. Class A Ordinary Share,2021-04-29,6770,607488623.0,61988635.0
ACR,ACRES Commercial Realty Corp.,2006-02-07,6798,77445663.48,9100548.0
ACRE,Ares Commercial Real Estate Corporation,2012-04-26,6798,644278026.105,54438363.0
ACRO,Acropolis Infrastructure Acquisition Corp.,2021-08-30,6770,416587500.0,43125000.0
ACRS,"Aclaris Therapeutics, Inc.",2015-10-07,2834,919496080.4300001,66581903.0
ACRX,"AcelRx Pharmaceuticals, Inc",2011-02-11,2834,29276110.268000003,147116132.0
ACST,"Acasti Pharma, Inc.",2011-04-26,2834,42782384.778,44288183.0
ACT,"Enact Holdings, Inc. Common Stock",2021-09-16,6411,3585785662.38,162842219.0
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,2021-05-13,4932,384675318.09000003,38895381.0
ACTG,Acacia Research Corporation,2002-12-16,6794,195378562.42499998,45809745.0
ACU,Acme United Corporation,1984-09-07,3420,113364801.2,3520646.0
ACVA,ACV Auctions Inc. Class A Common Stock,2021-03-24,7389,1087842207.585,157316299.0
ACXP,"Acurx Pharmaceuticals, Inc. Common Stock",2021-06-25,2834,39410695.68,10263202.0
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,2021-12-27,6770,299761875.0,30187500.0
ADBE,Adobe Inc.,1986-08-20,7372,175873950000.0,472500000.0
ADC,Agree Realty Corporation,1994-04-15,6798,5019497847.65,75175945.0
ADCT,ADC Therapeutics SA,2020-05-15,,473536590.705,76810477.0
ADER,26 Capital Acquisition Corp. Class A Common Stock,2021-03-08,6770,337562500.0,34375000.0
ADES,"Advanced Emissions Solutions, Inc",2003-10-22,2890,92616652.44999999,19096217.0
ADEX,Adit EdTech Acquisition Corp,2021-03-03,7374,338793450.0,34500000.0
ADGI,"Adagio Therapeutics, Inc. Common Stock",2021-08-06,2836,286082313.59749997,109715173.0
ADI,"Analog Devices, Inc.",1979-04-03,3674,76473862839.36,519806028.0
ADIL,"Adial Pharmaceuticals, Inc",2018-07-27,2834,29736202.5,23788962.0
ADM,Archer Daniels Midland Company,1945-09-10,2070,46372748644.259995,562707786.0
ADMA,"ADMA Biologics, Inc.",2013-10-17,2836,378959215.25,196351925.0
ADMP,Adamis Pharmaceuticals Corporation,1995-08-14,2834,60387425.7745,149733265.0
ADN,"Advent Technologies Holdings, Inc. Class A Common Stock",2021-02-05,3690,62192707.025000006,51612205.0
ADNT,Adient plc Ordinary Shares,2016-10-17,3714,2968544245.18,94811378.0
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,2020-12-10,2836,55867868.4,5477242.0
ADP,Automatic Data Processing,1968-01-31,7374,84731654840.16,417747152.0
